Category,Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Dietary Fiber (g),Sugars (g),Protein (g),Weight Watchers Pnts
Sandwiches,BBQ Chicken Sandwich,330,4,1,0,50,860,50,2,16,24,323
Sandwiches,BBQ Rib Sandwich,580,31,10,0,60,1260,54,3,18,21,587
Sandwiches,Black Forest Ham Sandwich,260,4,1.5,0,30,720,42,5,8,18,251.5
Sandwiches,Buffalo Chicken Sandwich,360,12,2,0,55,7710,39,3,5,24,343
Sandwiches,Chicken & Bacon Ranch Sandwich,530,26,10,0.5,100,1100,41,3,6,36,510
Sandwiches,Chicken Mango Curry Sandwich,330,7,1.5,0,50,840,43,3,9,24,316.5
Sandwiches,Chicken Tikka Sandwich,290,5,1,0,50,720,39,2,6,23,274
Sandwiches,Chicken Vindaloo Sandwich,340,9,1,0,50,880,42,3,7,24,324
Sandwiches,Cold Cut Combo Sandwich,310,10,2,0,45,930,38,2,5,16,301
Sandwiches,Genoa Salami Sandwich,430,23,8,0,60,1180,40,2,5,18,425
Sandwiches,Ham & Cheese Fresh Melt Sandwich,520,29,10,0.5,75,940,38,2,5,29,506
Sandwiches,Italian B.M.T.® Sandwich,380,17,6,0,50,1100,40,3,5,19,372
Sandwiches,Meatball Marinara Sandwich,420,18,7,1,40,1040,47,4,7,19,415
Sandwiches,New Ham & Jack Slider Sandwich,150,4.5,2,0,20,470,18,1,1,8,145
Sandwiches,New Italian Spice Slider Sandwich,230,14,5,0,30,690,18,1,2,8,229
Sandwiches,New Little Cheesesteak Slider Sandwich,170,7,2,0,15,430,19,1,2,7,167
Sandwiches,New Little Turkey Slider Sandwich,200,9,2.5,0,25,510,17,1,1,9,194.5
Sandwiches,New Southwest Chicken Club Sandwich,550,27,9,0,95,1230,43,5,7,34,532
Sandwiches,New Steak Club Sandwich,490,25,7,0,70,1350,40,2,6,27,476
Sandwiches,NEW Ultimate Steak Sandwich,600,35,14,1,80,1330,42,3,6,31,589
Sandwiches,Oven Roasted Chicken Sandwich,270,4.5,1.5,0,45,540,41,5,8,21,258.5
Sandwiches,Paneer Tikka Sandwich,570,30,16,0.5,70,720,48,3,7,29,564
Sandwiches,Roast Beef Sandwich,280,4.5,1.5,0,45,630,40,6,7,25,263.5
Sandwiches,Rotisserie-Style Chicken Sandwich,310,6,2.5,0,55,520,40,5,7,28,291.5
Sandwiches,Spicy Italian Sandwich,450,24,9,0,60,1240,40,3,5,18,446
Sandwiches,Steak & Cheese Sandwich,340,10,4.5,0,50,1060,39,2,5,22,327.5
Sandwiches,Steak & Cheese Fresh Melt Sandwich,520,29,11,0.5,80,1550,41,2,6,26,511
Sandwiches,Subway Club® Sandwich,280,4,1.5,0,45,800,41,5,7,25,263.5
Sandwiches,Subway Melt® Sandwich,380,13,5,0,55,1250,41,2,6,25,366
Sandwiches,Sweet Onion Chicken Teriyaki Sandwich,320,4,1,0,50,720,52,5,16,25,312
Sandwiches,The Bacon Tatum Sandwich,470,25,5,0,55,1320,37,2,4,24,455
Sandwiches,The DrayPotle Steak Sandwich,410,17,6,0.5,55,1230,40,2,6,24,398
Sandwiches,Tuna Sandwich,450,25,4.5,0,40,610,38,2,5,19,440.5
Sandwiches,Tuna Fresh Melt Sandwich,600,37,11,1,75,1010,36,2,3,30,584
Sandwiches,Turkey & Bacon Sandwich,330,9,2.5,0,45,1050,40,2,6,24,314.5
Sandwiches,Turkey & Bacon Guacamole Sandwich,780,27,6,0,90,2280,87,9,12,49,749
Sandwiches,Turkey Breast Sandwich,250,2.5,0.5,0,30,730,41,5,7,20,237.5
Sandwiches,Turkey Breast & Black Forest Ham Sandwich,260,3,1,0,30,720,41,5,7,19,249
Sandwiches,Turkey Reuben Sandwich,430,13,3.5,0,75,1660,41,6,8,35,406.5
Sandwiches,Ultimate Meatball Marinara Sandwich,720,45,19,1.5,80,1520,51,6,8,30,717
Sandwiches,Ultimate Spicy Italian Sandwich,730,52,21,1,105,1720,40,3,3,28,726
Sandwiches,Veggie Delite® Sandwich,190,2,0.5,0,0,240,39,5,6,9,187.5
Wraps,BBQ Rib Signature Wrap,1080,65,23,0,115,2560,86,5,32,38,1097
Wraps,Black Forest Ham Wrap,450,12,5,0,55,1680,57,4,5,29,431
Wraps,Chicken & Bacon Ranch Wrap,800,39,15,0.5,170,1970,56,4,5,59,761
Wraps,Chicken Caesar Wrap,610,25,9,0,120,1450,52,3,4,46,577
Wraps,Chipotle Southwest Steak & Cheese Wrap,710,33,12,1,95,2170,63,7,7,41,688
